"la_name","SEN_Unit","RP_Unit","Total pupils","EHC plan"
"Tower Hamlets","0","0","269","13"
"Tower Hamlets","0","0","451","13"
"Tower Hamlets","0","0","690","26"
"Tower Hamlets","0","0","389","13"
"Tower Hamlets","0","0","221","3"
"Tower Hamlets","0","0","351","6"
"Tower Hamlets","0","0","483","20"
"Tower Hamlets","0","0","843","30"
"Tower Hamlets","0","0","730","20"
"Tower Hamlets","0","0","279","8"
"Tower Hamlets","0","0","217","7"
"Tower Hamlets","0","0","432","13"
"Tower Hamlets","0","0","618","13"
"Tower Hamlets","0","0","438","23"
"Tower Hamlets","0","0","237","11"
"Tower Hamlets","0","0","332","7"
"Tower Hamlets","0","0","436","17"
"Tower Hamlets","0","0","109","3"
"Tower Hamlets","0","0","289","7"
"Tower Hamlets","0","1","380","24"
"Tower Hamlets","0","0","216","14"
"Tower Hamlets","0","0","487","8"
"Tower Hamlets","0","0","225","6"
"Tower Hamlets","0","0","175","10"
"Tower Hamlets","0","0","190","12"
"Tower Hamlets","0","0","164","5"
"Tower Hamlets","0","0","203","6"
"Tower Hamlets","0","0","288","10"
"Tower Hamlets","0","0","223","3"
"Tower Hamlets","0","0","152","6"
"Tower Hamlets","0","0","438","13"
"Tower Hamlets","0","0","100","5"
"Tower Hamlets","0","0","190","10"
"Tower Hamlets","0","0","229","8"
"Tower Hamlets","0","0","229","11"
"Tower Hamlets","0","0","242","9"
"Tower Hamlets","0","0","204","5"
"Tower Hamlets","0","0","1234","50"
"Tower Hamlets","0","0","1040","53"
"Tower Hamlets","0","0","1518","83"
"Tower Hamlets","0","0","893","33"
"Tower Hamlets","0","0","1275","59"
"Tower Hamlets","0","0","1219","84"
"Tower Hamlets","0","0","1533","20"
"Tower Hamlets","0","0","1445","81"
"Tower Hamlets","0","0","967","12"
"Tower Hamlets","0","0","485","5"
"Tower Hamlets","0","0","274","0"
"Tower Hamlets","0","0","38","38"
"Tower Hamlets","0","0","431","428"
"Tower Hamlets","0","0","101","97"
"Wandsworth","0","0","71","1"
"Wandsworth","0","1","79","5"
"Wandsworth","0","0","60","6"
"Wandsworth","0","0","52","13"
"Wandsworth","0","0","320","6"
"Wandsworth","0","0","398","9"
"Wandsworth","0","0","364","7"
"Wandsworth","0","0","322","13"
